phrase,target
QPR ProcessGuide is available as a system solution with centralized storage and management of process content as well as a standalone desktop version ; QPR ProcessGuide Xpress ,neutral
"The transaction is subject to a final agreement between the parties , approvals of their decision-making bodies and approval by the Finnish Competition Authority ",neutral
"Arto Ryymin , born 1964 , will replace Juhani Kaisanlahti who has worked as acting EVP , Healthcare & Welfare since August 2007 ",neutral
"The start of the negotiations , relating to Glaston 's efficiency program , was announced in October ",neutral
"According to Gallup Food and Farm Facts , beef consumption totaled 99mn kilos in Finland in 2007 ",neutral
"In the first quarter of 2008 , Sacanfil 's net sales totalled EUR 50.0 mn and its operating profit EUR 4.7 mn ",neutral
"A. Le Coq Special was developed for the bicentenary of the company and the trade mark , the brewer said ",neutral
No planned closing date was provided ,neutral
Rental of building equipment accounted for 88 percent of the operating income ,neutral
"Componenta is a metal sector company with international operations and production plants located in Finland , the Netherlands , Sweden and Turkey ",neutral
"561,470 new shares under 2003 option rights plan Packaging company Huhtamaki Oyj reported on Monday that a total of 561,470 new shares of the company have been issued based on share subscriptions under its 2003 option rights plan ",neutral
"The Group 's turnover in 2006 was EUR 39.2 million , and operating profit was EUR 3.9 million ",neutral
Decisions are to be made as quickly as possible ,neutral
The first group of customers to be trained will be paint-shop owners and their assistants ,neutral
The share subscription period for C options will commence on 1 September 2008 and expire on 31 March 2011 ,neutral
"The company said that the operations will be sold to a newly established company , CPS GmbH , where the present management of the plastics business is a co-owner ",neutral
"The company 's transportation business is conducted through Florida Rock & Tank Lines , which is a Southeastern transportation company concentrating in the hauling by motor carrier of liquid and dry bulk commodities ",neutral
The agreement includes application maintenance and support services ,neutral
The name of the newspaper publishing and printing division Sanoma will be changed to Sanoma News ,neutral
The report will be emailed within 2 business days of an order ,neutral
The bank VTB24 provides mortgage loans to buy apartments in the complex at 11-13 % per annum in rubles ,neutral
"In 2008 , AVC Systemhaus had net sales of EUR 10 million USD 7.1 m ",neutral
"The maximum grade of the veneer yield is calculated , based on the dimensions and grades of the veneer products , as well as by iterating the places of the peeling axes and simulating the peeling process ",neutral
About Dopplr Dopplr is a service for smart travellers ,neutral
Pharmaceutical market in Poland Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Poland ,neutral
The idea of saving electricity in data transfer is still a new one ,neutral
"In his current position , Manty has worked since 1996 ",neutral
`` They want my credit card info and my personal details ,neutral
"The Web-Marela application handles invitations to quote , quote comparisons , agreements , purchases , invoice inspections , inventory management , and deliveries ",neutral
"The floor area of the Yliopistonrinne project will be 7,900 sq m and the building 's gross area will total 12,800 sq m. A total 25.1 % of the facilities have been let ",neutral
"Finnish Kemira Group 's CEO , Lasse Kurkilahti , says the Group 's structural reorganisation will continue for at least a year ",neutral
The value of the orders is over EUR 10mn ,neutral
"Finnish printed circuit boards ( PCBs ) maker Aspocomp Group Oyj said on December 4 , 2006 it named Henry Gilchrist senior vice president of the group 's Asian operations , as of January 8 , 2007 ",neutral
"The Whitehall Street Real Estate Funds invest in real estate and real estate related assets , principally through the acquisition of real estate companies , real property and mortgage loans ",neutral
"At end-August , Sampo was Nordea 's biggest shareholder with a 20.6 % stake , followed by the state with 19.9 % ",neutral
"Incap , headquartered in Oulu , Finland , is a electronics contract manufacturer with some 750 employees in Finland , Estonia and India ",neutral
The order is included in Metso 's fourth quarter 2007 order backlog ,neutral
"From 2003 on , the emphasis of Kyro 's strategy has been on Glaston 's growth ",neutral
The fair value of CapMan Plc 's own investments on 30 September 2008 amounted to MEUR 59.8 ,neutral
The turbines are expected to be launched by the end of 2012 ,neutral
"Cohen & Steers , Inc. : 5 534 530 shares representing 4.985 % of the share capital and voting rights ",neutral
"The Inventors are Ridge Justin , Bao Yiliang and Karczewicz Marta ",neutral
"Elcoteq Dongguan was established in 1999 in the Nancheng District of Dongguan , China and is one of Elcoteq s four volume manufacturing plants in the Asia-Pacific region ",neutral
The value of the order is EUR 2.5 mn ,neutral
Combined net sales in 2006 were $ 27 million and EBITDA was $ 13.7 million ,neutral
"Name of Applicant : Jot Automation OYName of Inventor : Mammila Tuomo , Piirainen Mika and Kellokoski MikaApplication No. : 2424-KOLNP-2008 ADate of filing of Application : 16-06-2008Publication Date : 30/01/200",neutral
Negotiations with representatives of the personnel regarding the restructuring process have now been ended ,neutral
"In 2006 , 452 million tonnes CO2 of EUA ( EU Allowance ; emissions credit in EU ) was traded with an underlying market value approx ",neutral
Jon Risfelt is 49 years old holds a Master of Science in Chemical Engineering from the Swedish Royal Institute of Technology ,neutral
"The talks involved the Food and Ingredients Divisions , as well as group service functions , the company said ",neutral
All depends on financing ,neutral
"In addition to the Tulikivi Corporation , he is also currently a member of the Board of the following companies : Altia Corporation , J+Ã¯Â¿Â½rvi-Suomen Portti Osuuskunta , Osuuskunta KPY , Profile Vehicles Oy and Voimatel Oy ",neutral
"Utah 's capital wanted to be the next U.S. headquarters of Amer Sports Corp. , a ski-equipment company ",neutral
Work on the assignment has already started and is due for completion in spring 2011 ,neutral
"Fortum needs a clear signal of commitment from the Government that the permit is available before the company will start the next round , Kuula says ",neutral
The transaction value is CAD 15 million approximately EUR 10 million ,neutral
The expanded plant is scheduled to be operational by the middle of October 2009 ,neutral
The solid fuel is heated before sludge is mixed therein . ',neutral
Mursula said they tried to gather macro-economic perspective to see how Malaysia was doing ,neutral
Its 168 asset management experts manage assets worth over EUR 35 billion ,neutral
The estimated value of the deal is USD 9.2 million ,neutral
The phones are targeted at first time users in growth markets ,neutral
`` Serving customers locally is one of the cornerstones of customer focus for us ,neutral
The issuer is solely responsible for the content of this announcement ,neutral
"Currently Glaston employs approximately 1,500 persons ",neutral
"These sections will be put into place to form the load-bearing steel structure of the bridge , '' says Sami Eronen , Senior Vice President , Infrastructure and Northern Europe , Ruukki Construction ",neutral
`` Printed fabrics and related design expertise have always been the core of Marimekko 's business and brand ,neutral
The company then said it will focus its resources on clinical research ,neutral
"The order consists of outsourced application management , support and planning for Tecnotree and third-party applications ",neutral
"After the split , the company would have 26,885,540 Series A shares and 9,540,000 Series K shares ",neutral
"Cablevision Systems Corp. CVC Their Madison Square Garden division owns and operates the New York Knickerbockers basketball team ; they also own the Madison Square Garden Arena , the New York Rangers hockey team , the New York Liberty women 's basketball team , and the Hartford Wolf Pack hockey team ",neutral
"The contracts between Raute Corporation and Muling Kemian Wood Products Co. , Ltd. , which were announced on 3 November 2010 , have taken effect ",neutral
The business area 's net sales were slightly over 2m in 2006 ,neutral
The transaction included also the transfer of the lease agreement concerning manufacturing premises and employment agreements related to these operations ,neutral
The order includes 48 ship cranes that will be delivered for 12 container feeders to be built at Wenchong shipyard in China ,neutral
"Kemira , headquartered in Helsinki , Finland , is an international chemicals group comprising the business areas Kemira Pulp & Paper , Kemira Water , Kemira Specialty and Kemira Coatings ",neutral
The project also implies an underground parking lot for 56 vehicles ,neutral
"The business is organised , as of February 1 , 2011 , in a way that production of design services is combined into one entity , Etteplan Operations ",neutral
Niklas Skogster has been employed by the ABB Group in various positions concerning the development of operations ,neutral
Talvivaara is listed on the London Stock Exchange Main Market and NASDAQ OMX Helsinki and is included in the FTSE 250 Index ,neutral
Panostaja did not disclose the purchase price ,neutral
"The utility will also provide services related to electricity management , such as hedging trades and risk management and reporting ",neutral
"As an alternative to the share exchange , Panostaja offers a full cash consideration at the value of 1.27 euro $ 1.7 per share ",neutral
"The new majority owners of Aspocomp Thailand Co. , Ltd are certain private persons belonging to immediate circle of Aspocomp 's present Joint Venture partner , Saha Pathana Inter-Holding Plc. ",neutral
"Trading in the new shares , which have right to dividends and other distributions of funds , will start on the exchange in Helsinki tomorrow ",neutral
"Most of the raw materials come from Europe and the US and are paid in euros or US dollars , while sales take place in rubles ",neutral
"BasWare is headquartered in Espoo , Finland ",neutral
"The company is also seeking possibilities to relocate the Luumaki personnel , some 50 people , to other UPM mills ",neutral
The value of the orders is about EUR 70mn ,neutral
"Stockholm-based Nordea Bank ( STO : NDA ) said yesterday it had hired Casper von Koskull to lead its corporate merchant banking and capital markets unit , effective 1 September ",neutral
The contract is for next year ,neutral
"The latest result included per-share charges of 5 cents for stock compensation , 1 cent for research and development and 1 cent for strategic investments ",neutral
It is estimated that the consolidated turnover of Kausta Guder will reach Lt 53mn US$ 22.53 mn EUR 15.35 mn in 2007 ,neutral
Talvivaara Mining Company Plc Talvivaara Mining Company is an internationally significant base metals producer with its primary focus on nickel and zinc using a technology known as bioheapleaching to extract metals out of ore ,neutral
"With this , the company will exit the contract manufacturing service segment ",neutral
"N +1 Group will pay EUR16 .5 m of the transaction price upon closing , and the remaining sum in 2012 ",neutral
"The fish content of the nuggets is 85 % , and the fish comes from Canada and Finland ",neutral
Grounds for the notification : Tiimari Plc 12/30/2010 issued Capital Convertible Loan allocation decision by the Board on 01/31/2011 ,neutral
ZAO YIT Moskovia builds housing in Moscow and its surrounding cities ,neutral
"Yara Suomi Ltd also provides nitrogen chemicals and technical nitrates to various sectors of industry , as well as products used in environmental protection ",neutral
The transaction is expected to be completed next spring ,neutral
"The hosting mobile terminal guides information flow between itself , the participating terminals , and optionally , with network servers that may assist the hosting mobile terminal ",neutral
Castecka said the town hall would hold talks with other investors interested in the zone ,neutral
"The reductions will be implemented immediately , beginning in October 2009 ",neutral
"Construction work on the Helsinki Music Centre is to start this autumn , with the total cost of the project estimated at 140 million euros ",neutral
The value of this kind of order amounts usually between Euro 2 and 3 million ,neutral
In the meantime the CEO 's duties will be assumed by Outotec 's Deputy CEO Seppo Rantakari ,neutral
Short-term licenses for the games cost as little as $ 3 while purchasing a game outright can cost as much as $ 10 or $ 15 ,neutral
The contract includes heating plant equipment and associated installation work ,neutral
"By the end of 2006 , the number of joint branch offices will total 170 ",neutral
The value of the contract is in total USD12m ,neutral
"We know that it exists , '' Artemyev said ",neutral
"Mr. Mikko Saavalainen , head of Comptel 's Global Sales concludes : `` Gibtelecom provides a perfect illustration of the variety of business , technical and regulatory challenges operators are facing in their OSS today ",neutral
The platform would continue to be the development framework for Symbian and MeeGo ,neutral
"In addition to its stake in MegaFon , Telecominvest currently owns 100 % of shares in Web Plus and St. Petersburg Payphones , 51 % in telecom equipment producer Peter-Servis and a number of other minor assets ",neutral
"Tikkurila , a division of Kemira group , controls about 23 % of the Russian market in its field and owns St. Petersburg paint producer TEX. ",neutral
Cargotec will also move Hallberg-Ivarsson 's service and installation business under the same roof with its service center for Kalmar and MacGregor solutions in Gothenburg ,neutral
The Company turnover amounted to MEUR 27.9 in 2007 ,neutral
"Based on the 2005 calendar year the combined company had EUR15 .8 bn in pro forma annual revenues and is expected to start operations with 60,000 employees ",neutral
"The Committee proposes the following remuneration : a monthly remuneration of EUR 5,000 for the Chairman , EUR 3,500 for the Deputy Chairman , and EUR 2,500 for the other Board members ",neutral
"You need to be ready when the window opens up , Rosberg said ",neutral
"The scheme for TeliaSonera and Altimo is practically identical , except that it involves the merger of their stakes in VimpelCom and Kyivstar ",neutral
The purchase sum is about EUR 10mn US$ 12.97 mn ,neutral
"The sale of Savcor FACE to Cencorp will result in a profit or loss which can not yet be determined , owing to factors including the valuation of the consideration shares to be received and prevailing exchange rates ",neutral
"The reorganisation will be carried out by transferring HKScan Corporation 's production-related property , plant and equipment in Finland as well as its holdings in subsidiaries and associates to HKScan Finland Oy , a holding company wholly owned by HKScan Corporation ",neutral
"The share capital of Alma Media Corporation business ID 1944757-4 is EUR 44,767,513.80 and it is divided into 74,612,523 shares ",neutral
"The maximum amount of the capital loan will be EUR30m and the minimum subscription -- EUR10 ,000 ",neutral
"Poyry is a global consulting and engineering firm focusing on the energy , forest industry and infrastructure & environment sectors ",neutral
"The E7 smartphone will be available for Rs35 ,000 per handset across India , '' Nokia India vice-president & managing director D Shivakumar told reporters ",neutral
"SDM offers general rental equipment , aluminium scaffolding , power generator and hoists to customers in the construction sector ",neutral
"A data processing unit collects the data , calculates RVR values and provides the data to users via various interfaces ",neutral
"Maggie Ramsey 's wait - and those of thousands of Oregon and Washington guides , anglers and others who flock to his frequent seminars - is nearly over ",neutral
The company had net sales of EUR 19.8 mn and a pre-tax profit of EUR 1.8 mn in 2005 ,neutral
"The connectivity unit has more than 100 e-invoice customers , and the number of annual transactions stands at nearly one million ",neutral
"Typical end-uses include roof structures , floorings , walls and ceilings , non-visible structures in vehicles , packaging and boxes , construction site structures , fencing and shelters , and formwork with a limited number of concrete pourings ",neutral
"Nordea Bank AB publ holds 6.000 Alma Media shares , representing 0.008 % of share capital and voting rights ",neutral
Russia 's Video International Group holds a controlling stake in Russian Media Ventures ,neutral
The parties have therefore agreed to leave Avena out of the deal ,neutral
"Veidekke , headquartered in Oslo , Norway , is a Scandinavian construction and property development group with some 6,350 employees in Norway , Sweden and Denmark , with an annual turnover of NOK16 .4 bn ",neutral
`` These developments partly reflect the government 's higher activity in the field of dividend policy . ',neutral
"At first , Solteq 's services to companies operating in the St. Petersburg area will include maintenance and material management systems and data collection solutions ",neutral
"Jeder Beta-Tester erh+Ã¯Â¿Â½lt kostenlos sechs Monate lang Updates und hat laut eigener Aussage die M+Ã¯Â¿Â½glichkeit , die finale Version zu beeinflussen ",neutral
"RAPALA TOURNAMENT FISHING : With all the major titles already out for the holidays , bargain-priced games such as Rapala aim for a smaller audience ",neutral
"CapMan 's first real estate fund , which had a total investment capacity of ( EURO ) 500 million and closed in June 2005 , invested in commercial properties in the Helsinki metropolitan area ",neutral
"The Group owns and operates a fleet of more than 800dwt , while container capacity is 17,000 TEUs , and manages a diversified fleet of its own railway rolling stock of over 17,000 units ",neutral
Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas ,neutral
"The Annual Report contains the financial statements , the consolidated financial statements , the report by the Board of Directors and the auditor 's report ",neutral
The Bank is also examining the benefits of transferring the Swedish business to operate as a branch office so that the operations would be governed by Finland 's laws ,neutral
Each share is entitled to one vote ,neutral
The original patent was filed in Finland under application No. ,neutral
Most of the dividend will go to the Grimaldi family ,neutral
"The company will disclose further details , including the anticipated transaction timetable and the name of the new investor , within one week ",neutral
"As part of the transaction , the +Ã¯Â¿Â½+Ã¯Â¿Â½nekoski paper mill remained in M-real 's ownership and continued Galerie Art production for Sappi under a long-term contract ",neutral
The company has 120 employees and annual sales of approximately EUR16m ,neutral
"The business units of the InvestLesProm Group cover the full forest industry chain , and the Group owns forests , sawmills , paper and pulp mills , and other processing plants ",neutral
"Also , a six-year historic analysis is provided for this market ",neutral
"L&T is operative in Finland , Sweden , Latvia , Russia and Norway ",neutral
"Tekla 's defense business employs over 20 persons and is located in Espoo , Finland ",neutral
The value of the orders is about EUR 25mn ,neutral
Completion of the transaction is subject to a final agreement and a Due Diligence process ,neutral
"Eero Katajavuori , currently Group Vice President , Human Resources , will take a year-long sabbatical starting from October 1 , 2010 ",neutral
"The tanks will be delivered to a company which is currently building a chemical tank farm in Antwerp , northern Belgium ",neutral
The share subscription period for stock options 2007A is between 1 April 2010 and 31 March 2012 ,neutral
`` Directors and shareholders alike should ask why these practices were allowed to continue . ',neutral
The price will be specified at the completion date ,neutral
"Glaston 's own glass processing unit , Tamglass Glass Processing , is a manufacturer of high quality safety glass products operating in Finland ",neutral
"The gross area of eight houses will be 12,167 m2 ",neutral
"Please inform IR Johanna Koskinen of your participation no later than 20 April at 10 a.m. A telephone conference for financial analysts and investors , conducted in English , will begin at 3:00 p.m. Finnish time ( EET ) ",neutral
"Cargotec 's sales totalled EUR 3.4 billion in 2008 and it employs approximately 11,000 people ",neutral
A total 30 % of the order value was booked in the fourth quarter of 2009 and the remainder will be booked in the second quarter of 2010 ,neutral
"Previously , Grimaldi held a 46.43 pct stake in the Finnish company following the takeover bid launched in November 2006 ",neutral
"Nokia Siemens Networks provides mobile and fixed network infrastructure , communications and networks service platforms , as well as professional services , to operators and service providers ",neutral
In July it and Quadriga Capital sold their Lewa GmbH pump-making business to Japan 's Nikkiso Co. ,neutral
"Mr Ashley , deputy executive chairman of Sports Direct , sold a 43pc stake in the company for more than pounds 900m at the time of the float ",neutral
Electronic versions require 24-48 hours as each copy is customized to the client with digital controls and custom watermarks ,neutral
The negotiations will concern the plant 's department producing winded roving that employs 10 people ,neutral
"SSH Communications Security Corporation is headquartered in Helsinki , Finland ",neutral
The agreement includes the entire process of managing Mercator 's supply chain in all regions where the company is currently present ,neutral
The shops are located in the capital region and the Paijat-Hame region ,neutral
All YIT Capital Markets Day materials will be available on the company 's Internet site at www.yitgroup.com/investors at 10:30 on September 26 ,neutral
The value of the deal has not been disclosed ,neutral
"Los Angeles-based Pacific Office Properties Trust acquires , owns , and operates office properties in the western U.S. , focusing initially on the markets of Honolulu , San Diego , Los Angeles , and Phoenix ",neutral
It is expected to be online by 2011 ,neutral
"After non-recurring items of EUR 177mn , profit amounted to EUR 20mn ",neutral
"The sale will be finalized in September or October , the company said ",neutral
Vianor sells tires for cars and trucks as well as a range of other car parts and provides maintenance services ,neutral
"In 2010 , Sanoma Magazines expects net sales to be at the 2009 level ",neutral
"Seventy-three of those also have more extensive training in products built on the latest ArchestrA technologies , such as the Wonderware System Platform ",neutral
Nokia and Capcom announced that Resident Evil Degeneration will be released on N-Gage later this year ,neutral
"The company 's set of services include digital printing , printing preparation , offset-printing , after-treatment services and send out services ",neutral
The sellers were EOSS Innovationsmanagement and a group of private individuals ,neutral
"Our customers come from the following countries : UK , USA , Spain , France , Italy , Germany , China , Hong Kong , Sweden , Norway , Netherlands , Austria , Belgium , Switzerland , Czech Republic , Finland , Canada , Russia , Ukraine , Denmark , Ireland , South Korea and Liechtenstein ",neutral
He will report to CapMan Plc 's CEO Heikki Westerlund ,neutral
The original contract was signed last summer ,neutral
The proposal that the Board of Directors will make at the Annual General Meeting is attached as a whole to this release ,neutral
The hull of the vessel was built one block at a time and Ruukki delivered the plate material for each block as construction progressed ,neutral
No financial details of the deployment were disclosed ,neutral
"The first phase of the logistics complex envisages the completion of some 70,000 sq m of logistics premises and the gatehouse building in November 2008 ",neutral
Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC fabrication process ,neutral
"Panostaja owns a 68.77 pct of share capital and the voting rights of Suomen Helasto shares following an exchange of shares which was carried out on May 30 , 2007 ",neutral
"The board machine , which will have a wire width of 6.25 m and a design speed of 900 m-min , will produce close to 1,400 tonnes of folding boxboard per day ",neutral
"` Nordea 's definitely too big for Sampo to acquire , ' said an analyst ` But Sampo would appear to have an agenda for Nordea ahead of the privatisation ",neutral
Latvia 's Stockmann shopping mall is a subsidiary of Finland 's Stockmann Plc. ,neutral
He wore a black beanie-type cap and a black jacket ,neutral
"The platen edges in contact with the band are provided with a seal having a protrusion directed towards the middle area of the platen , and means are provided to exert and maintain a pressure in the volume defined by the platen , the band and the seal . '",neutral
"The company operates its business through two reportable segments , including Banking and Investment Services , and Non-Life Insurance ",neutral
"Our customers include companies in the energy and process industry sectors , in particular ",neutral
The divested stake represented about 2.7 m shares in Okmetic 's capital ,neutral
"Established in 1987 , the SRV Group is a private Finnish construction concern with operations in Finland , the Baltic countries and Russia ",neutral
The deal means that ten persons in three countries will transfer to Tieto ,neutral
"On the following workday customers can check from their home computers how their purchases are divided between different ingredient groups , how much energy various products contain and what is the nutritional content of all purchases ",neutral
"In the Czech Republic , the smaller profiling unit at Ostrava will be closed and the machinery will be gradually relocated to Ruukki 's bigger plants in Hungary , Poland and Romania by the end of the first quarter of 2009 ",neutral
Both Mr Walden and Mr Ignatius will be responsible also for the newspapers ' business result ,neutral
"Thus the group 's balance sheet will have about EUR 25.8 million of goodwill , the company added ",neutral
Fortum had previously bought the state-held stake in TGK-10 from RAO UES during its reform ,neutral
The company is listed on the Nordic Exchange in Helsinki ,neutral
"The total donation amount is EUR 1,115,000 ",neutral
"The divested company is part of TietoEnator 's business area Government , Manufacturing & Retail ",neutral
"The value of the order is EUR 700,000 ",neutral
"The portfolio comprises of 118,000 m2 of leasable space with a vacancy rate of roughly 5 % , let to around 140 tenants of which two of the largest are the Swedish government and Ericsson ",neutral
COMPTEL CORPORATION Sami Ervio President and CEO Distribution : NASDAQ OMX Helsinki Major media Comptel Dynamic OSS solutions enable telecom service providers to deliver services flexibly and charge them effectively ,neutral
"The segments through which the company operates are Frozen Food business , Seafoods , Vegetable Oil business , Grain Trading and Other business operations ",neutral
"Among the Scandinavian companies present in St. Petersburg , is also named the Swedish concern NCC , which implements projects in the field of asphalt production , road and housing construction ( project Swedish Krona ) ",neutral
It was decided that the auditors are reimbursed according to invoice ,neutral
"In 2008 , the steel industry accounted for 64 percent of the cargo volumes transported , whereas the energy industry accounted for 28 percent and other industries for 8 percent ",neutral
"Cencorp would focus on the development , manufacture and marketing of standard products for production automation ",neutral
"Motorola accounted for 11.5 percent of the South Korean handset market as of the end of April , Samsung held 55 percent and LG Electronics 19 percent , according to Korea-based ATLAS Research Group ",neutral
"STOCKMANN plc COMPANY ANNOUNCEMENT February 20 , 2007 , at 13.40 An annual summary of Stockmann 's stock exchange and financial press releases in 2006 is available on the company 's website at the address www.stockmann.com ",neutral
"It will be operated by Nokia , and supported by its Nokia NetAct network and service management system ",neutral
"The store is located in Poznan in a shopping center named Pestka , the company added ",neutral
The output of the contracts totals 72 MWe ,neutral
It has80 branches in Finland with annual revenue in Finland of ,neutral
"The inventors are Mukkavilli Krishna Kiran , Sabharwal Ashutosh and Aazhang Behnaam ",neutral
No other ev3 devices were involved in this action ,neutral
Rubin says he expects Capman to announce 1-2 additional transactions in 2009 ,neutral
"However , the offering will probably not be made at the current valuation , which partly derives from the deal in which the company was merged into a stock market shell ",neutral
The acquisition price was not disclosed ,neutral
Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 ,neutral
"The Stena Poseidon is a so-called Panamax tanker , designed to be able to pass through the narrow passages in the Panama Canal 's locks ",neutral
"Alpina Sports is a Lebanon , New Hampshire USA based distributor of e.g. Alpina ski shoes and skis , Exel ski poles , Start ski waxes and now also Peltonen cross-country skis ",neutral
Nokia Messaging 1.1 enables customers to receive e-mails from up to 10 e-mail accounts on their mobile phone supporting all POP or IMAP e-mail services ,neutral
"OTHER  North-Rhine Westphalia - Is to issue a benchmark , 5 year fixed rate deal in Euros ",neutral
Bluewin Security is available as a monthly subscription ,neutral
"To see more of New Haven Register , or to subscribe to the newspaper ",neutral
"SRV will also build an aqua park with wellness area , a restaurant and a multifunctional ice arena ",neutral
Oriola-KD is a spin-off of Finnish pharmaceutical group Orion Oyj 's wholesale division ,neutral
"German Commerzbank AG 's Hamburg Branch and US JP Morgan ( NYSE : JPM ) participated as arrangers , and Dutch ING ( AMS : INGA ) as co-arranger ",neutral
- Counter your competitor 's strengths and target their weaknesses ,neutral
"Capacity of the facility made by Finland 's Vaahto Group is 86,000 tons of light coated paper ",neutral
"The group posted net sales of 35.3 mln euro $ 46.5 mln and an operating profit of 760,000 euro $ 1.0 mln in 2005 ",neutral
The properties were purchased from Swedish private equity real estate firm Niam and Goldman Sachs ' Whitehall Street Real Estate Funds ,neutral
Delivery is expected to take place later this month ,neutral
The ECB can mainly target inflation ,neutral
"The decision will have to be made whether the group agrees to the import of Estonian meat and meat products to Finland , the paper added ",neutral
From Merisatama to the far corners of the world Asfaltti Osakeyhti+Ã¯Â¿Â½ Lemmink+Ã¯Â¿Â½inen was established in 1910 by a group of master builders in Helsinki as a specialist business and subcontractor ,neutral
"Sarantel , based in Wellingborough , UK , designs high-performance antennas for portable wireless devices ",neutral
Solteq Plc ANNOUNCEMENT 16.12.2010 SHARE REPURCHASE 16.12.2010 In the Helsinki Stock Exchange Solteq Plc now holds a total of 486.969 shares including the shares repurchased on 16.12.2010 ,neutral
"Under the agreement , Larox will transfer 10 employees within engineering and documentation related to delivery projects and product maintenance in Finland to Etteplan as of January 1 , 2007 ",neutral
"The acquisition was financed with $ 2.56 billion of debt arranged by Goldman , Sachs & Co. ",neutral
Mr K.R. Vasantha has been appointed Managing Director of Incap Contract Manufacturing Services Pvt. Ltd. ,neutral
"- The Group -Ã¯Â¿Â½ s cumulative sales during the review period were EUR 48.2 million EUR 53.1 million , 1-9/2007 and profit before taxes was EUR 1.2 1.4 million ",neutral
`` Our Vaalipalvelu-service was especially developed for use by communities and organizations ,neutral
The repurchase of the bonds was executed in the open market in accordance with section 7 f of the terms and conditions of the Convertible Bonds ,neutral
The total investment in 2006 and 2007 is expected to amount to about EUR75m ,neutral
The issuer is solely responsible for the content of this announcement ,neutral
The company 's board of directors has proposed a dividend of EUR0 .12 per share for 2006 ,neutral
The total value of the contract is some EUR 8 million ,neutral
The passenger tunnel is expected to be put into operation in 2009 ,neutral
"The Division also includes joint sales , marketing and controlling functions for these units ",neutral
To see a slide show of all the newest product releases from Fiskars ,neutral
The studies are expected to start in 2008 ,neutral
"The train is expected to cross the Russian territory in 9 days , reaching the Vostochny port ",neutral
The agreement must be approved by the Russian competition authorities before it enters into force ,neutral
The exercise price of the option will be based on Safran Software Solutions ' license and maintenance sales as well as the result of the company ,neutral
"The company 's board of directors will propose a dividend of EUR 0.95 per share for 2008 at the annual general meeting , scheduled to be held on March 23 , 2009 ",neutral
Currency conversions are based on exchange rates at the time of the deal ,neutral
"SSH Communications Security Corporation is headquartered in Helsinki , Finland ",neutral
Storengy is the GDF SUEZ company that is dedicated to the underground storage of natural gas ,neutral
The total investment of the project will be approximately EUR 36m ,neutral
Capital base and capital adequacy measurement is based on approaches under Basel II ,neutral
The EA Reng group posted sales of approximately 84 million kroons for 2007 ,neutral
It has some 30 offices worldwide and more than 90 pct of its net sales are generated outside Finland ,neutral
"The authorisation is in force until the end of the next Annual General Meeting and repeals the authorisation to acquire own shares given by the General Meeting held on April 4 , 2007 ",neutral
"Typically , the transmission power level can be decreased when the interference noise is above a predefined value ",neutral
"Trading code : ELI1V Number of shares : 99,483 Price-share : Gratuitous After the transfer , Elisa holds a total of 10,435,023 own shares ",neutral
Stora Enso will receive a 19.9 pct equity interest in the combined company ,neutral
"The order comprises four ball mills , which will be organized in two different streams for treating ore in the Pilanesberg platinum mine ",neutral
EUR 220 million of the transaction consideration was paid in the form of four-year interest-bearing vendor notes ,neutral
"During the rally , which was authorized by the city administration , a consulate official came out to the workers , spoke to them and took a letter from them ",neutral
The annual net sales of the unit is some EUR 5 million and it currently employs some 55 people ,neutral
Earnings per share EPS amounted to EUR0 .01 ,neutral
Finnish silicon wafer technology company Okmetic Oyj OMX Helsinki : OKM1V said on Wednesday 17 September that it will invest EUR6m in its sensor wafer business during 2009 ,neutral
"The company operates worldwide and employs in total approximately 47,000 persons ",neutral
"The move will be carried out by transferring HKScan 's production-related property , plant , equipment , as well as its holdings in subsidiaries and associate companies in the country to HKScan Finland ",neutral
"The e-commerce site and flagship will be managed by Marimekko North America Retail LLC , a subsidiary established in the U.S. last year ",neutral
"3 January 2011 - Scandinavian lenders Sampo Bank ( HEL : SAMAS ) , Pohjola Bank ( HEL : POH1S ) and Svenska Handelsbanken ( STO : SHB A ) have provided a EUR160m ( USD213m ) line of credit to Lemminkainen Oyj ( HEL : LEM1S ) , the Finnish construction firm said on Friday ",neutral
"Operators only need to learn how to use one device for multiple levels of applications , including voice-directed operations ",neutral
The trade is in accordance with the agreement announced on 26 March 2008 ,neutral
"Aspocomp Group , headquartered in Helsinki , Finland , develops interconnection solutions for the electronics industry ",neutral
"Incap Contract Manufacturing will carry out the manufacturing for these agreements at its factory in Tumkur , near Bangalore ",neutral
"The equipment Ixonos acquires with this deal includes mechanical engineering hardware ; an RF and antenna measurement laboratory ; facilities for the measurement of audio , cameras and displays ; as well as devices and robot units for the testing of mobile devices ",neutral
"The customer is then forwarded to the site , and unknown to him logged in with the first number ",neutral
Symphony Services provides development services for Aldata GOLD ,neutral
